01.10.25 23:15;02.10.25 07:30;GOOD
02.10.25 23:50;03.10.25 06:40;NORMAL
03.10.25 14:10;03.10.25 15:00;NORMAL
03.10.25 23:40;04.10.25 08:00;BAD
05.10.25 00:10;05.10.25 06:20;GOOD
05.10.25 13:30;05.10.25 14:15;NORMAL
06.10.25 22:30;07.10.25 05:50;GOOD
07.10.25 23:45;08.10.25 06:30;GOOD
08.10.25 23:50;09.10.25 07:10;GOOD
10.10.25 13:00;10.10.25 14:30;NORMAL
10.10.25 23:55;11.10.25 06:10;GOOD
11.10.25 23:10;12.10.25 07:00;BAD
15.10.25 12:50;15.10.25 13:00;NORMAL
30.10.25 23:50;31.10.25 06:30;GOOD
01.11.25 12:50;01.11.25 13:00;NORMAL
01.11.25 23:50;02.11.25 09:00;GOOD
02.11.25 18:00;02.11.25 23:59;GOOD
03.11.25 06:01;03.11.25 12:00;BAD
04.11.25 23:15;05.11.25 07:30;GOOD
05.11.25 23:50;06.11.25 06:40;NORMAL
06.11.25 14:10;06.11.25 15:00;NORMAL
06.11.25 23:40;07.11.25 08:00;BAD
